Emissions,,,,,
Year,Energy Producer,Transportation,Manufacturing,Agriculture,Waste
1990,83088000,50076000,30198000,10519000,7387000
1991,83366000,48562000,30931000,10241000,8050000
1992,85002000,50344000,30874000,10235000,8205000
1993,76323000,51509000,28357000,10150000,8264000
1994,75462000,52764000,29792000,10359000,8304000
1995,76995000,54620000,31045000,10689000,7962000
1996,83469000,56113000,31871000,10598000,7538000
1997,88075000,58244000,30515000,10476000,7657000
1998,90512000,59052000,27054000,10534000,7820000
1999,94674000,61713000,25010000,10500000,7989000
2000,103579000,62102000,24477000,10274000,8071000
2001,98607000,60350000,22614000,10050000,8114000
2002,99192000,61891000,24052000,10294000,8389000
2003,100760000,62460000,23584000,10555000,8584000
2004,93830000,63903000,27579000,10505000,8991000
2005,93890000,66455000,24529000,10221000,9284000
2006,86019000,64149000,25104000,10729000,9327000
2007,91837000,63020000,24823000,10350000,9189000
2008,85601000,61527000,24620000,9920000,8713000
2009,68817000,60922000,18393000,10265000,8601000
2010,73110000,63194000,20300000,10441000,8420000
2011,71759000,62732000,21596000,9866000,8680000
2012,69009000,60323000,23654000,9739000,8636000
2013,67147000,62994000,22060000,10156000,8477000
2014,66130000,61382000,22563000,9865000,8541000
2015,63479000,62630000,21806000,9658000,8595000
Allowance Price,,,,,
Year,Price,,,,
2017,16,,,,
2018,17,,,,
2019,18,,,,
2020,18,,,,
2021,19,,,,
2022,20,,,,
2023,21,,,,
2024,31,,,,
2025,36,,,,
2026,43,,,,
2027,50,,,,
2028,57,,,,
2029,64,,,,
2030,71,,,,
Cap,,,,,
Year,Cap,,,,
2017,142000000,,,,
2018,136320000,,,,
2019,130867200,,,,
2020,125632512,,,,
2021,124489145,,,,
2022,123345778,,,,
2023,122202410,,,,
2024,121059043,,,,
2025,119915676,,,,
2026,118772309,,,,
2027,117628942,,,,
2028,116485574,,,,
2029,115342207,,,,
2030,114198840,,,,
Cap Distribution,,,,,
Utilities,Transportation,Industry,Agriculture,Waste,
0.5,0.255,0.12,0.07,0.06,
Price for Investment,,,,,
Utilities,Transportation,Industry,Agriculture,Waste,
18.76,94.23,24.17,0,5.63,
Investment Reduction Factor,,,,,
Utilities,Transportation,Industry,Agriculture,Waste,
1E-10,1E-10,1E-10,1E-10,1E-10,
