Industries,,,,,,
Utilities,Transportation,Industry,Agriculture,Waste,,
83088,50076,30198,10519,7387,181268,
83366,48562,30931,10241,8050,114198.8075,
85002,50344,30874,10235,8205,,
76323,51509,28357,10150,8264,,
75462,52764,29792,10359,8304,,
76995,54620,31045,10689,7962,,
83469,56113,31871,10598,7538,,
88075,58244,30515,10476,7657,,
90512,59052,27054,10534,7820,,
94674,61713,25010,10500,7989,,
103579,62102,24477,10274,8071,,
98607,60350,22614,10050,8114,,
99192,61891,24052,10294,8389,,
100760,62460,23584,10555,8584,,
93830,63903,27579,10505,8991,,
93890,66455,24529,10221,9284,,
86019,64149,25104,10729,9327,,
91837,63020,24823,10350,9189,,
85601,61527,24620,9920,8713,,
68817,60922,18393,10265,8601,,
73110,63194,20300,10441,8420,,
71759,62732,21596,9866,8680,,
69009,60323,23654,9739,8636,,
67147,62994,22060,10156,8477,,
66130,61382,22563,9865,8541,,
63479,62630,21806,9658,8595,,
57305,61368,20788,9703,8434,,
51596,60636,19764,9563,8227,149786,0.237584432
Allowances,,,,,,
50530,59384,19356,9365,8057,,x^13=(1-0.23758)
49487,58158,18956,9172,7891,,0.979350212
48465,56957,18565,8982,7728,,
47464,55781,18181,8797,7568,,
46484,54629,17806,8615,7412,,
45524,53501,17438,8437,7259,,
44584,52396,17078,8263,7109,,
43664,51314,16726,8092,6962,,
42762,50254,16380,7925,6818,,
41879,49217,16042,7762,6678,,
41014,48200,15711,7601,6540,,
40167,47205,15386,7444,6405,,
39338,46230,15068,7291,6272,114199,114198.8075
Slope Reduction Factor,,,,,,
1,1,1,1,1,,
